COUNTY_NAME,2002,2007,2012,2017,2022
AUTAUGA,63798.0,51115.0,68110.0,72423.0,67270.0
BALDWIN,129192.0,90611.0,88071.0,98689.0,89784.0
BARBOUR,74596.0,76186.0,60357.0,89092.0,107319.0
BIBB,22088.0,17044.0,21069.0,26783.0,20095.0
BLOUNT,172650.0,132917.0,131925.0,207282.0,121082.0
BULLOCK,46244.0,34899.0,37672.0,41548.0,53852.0
BUTLER,61879.0,41607.0,31887.0,37965.0,45165.0
CALHOUN,60066.0,46741.0,58992.0,93445.0,62404.0
CHAMBERS,56916.0,53208.0,76932.0,88522.0,170218.0
CHEROKEE,78899.0,36567.0,52246.0,45987.0,52675.0
CHILTON,66777.0,57890.0,45255.0,55755.0,63659.0
CHOCTAW,29042.0,19283.0,13015.0,18442.0,20259.0
CLARKE,25582.0,20320.0,17259.0,26583.0,25477.0
CLAY,80854.0,67513.0,59453.0,69672.0,96741.0
CLEBURNE,54230.0,36192.0,36328.0,45868.0,54512.0
COFFEE,131703.0,99597.0,87111.0,140226.0,102117.0
COLBERT,69312.0,55226.0,81702.0,63865.0,50254.0
CONECUH,55156.0,53528.0,31100.0,53080.0,72052.0
COOSA,22202.0,15066.0,11069.0,22415.0,11336.0
COVINGTON,151541.0,132853.0,105931.0,106037.0,106741.0
CRENSHAW,112888.0,94836.0,124629.0,98460.0,100238.0
CULLMAN,341889.0,296269.0,257489.0,262870.0,205390.0
DALE,66590.0,52009.0,43383.0,51230.0,52942.0
DALLAS,105869.0,76254.0,95622.0,118193.0,143870.0
DE KALB,295972.0,223259.0,247741.0,288424.0,245875.0
ELMORE,61889.0,51982.0,40577.0,52183.0,31514.0
ESCAMBIA,51080.0,43054.0,57237.0,31861.0,38565.0
ETOWAH,95569.0,72356.0,86695.0,82753.0,79153.0
FAYETTE,41741.0,36297.0,30871.0,40052.0,21187.0
FRANKLIN,99168.0,106831.0,126022.0,114587.0,107644.0
GENEVA,144592.0,120044.0,124888.0,125095.0,109668.0
GREENE,64788.0,53696.0,41214.0,47043.0,37867.0
HALE,110438.0,96799.0,107262.0,114883.0,99096.0
HENRY,77837.0,73625.0,62879.0,77880.0,55368.0
HOUSTON,91226.0,89884.0,89961.0,85277.0,80604.0
JACKSON,148738.0,125634.0,143177.0,156630.0,133338.0
JEFFERSON,21443.0,15496.0,21903.0,19908.0,17825.0
LAMAR,35959.0,23361.0,23147.0,19367.0,18428.0
LAUDERDALE,134750.0,135016.0,127370.0,133067.0,96640.0
LAWRENCE,174290.0,110343.0,130482.0,139584.0,118808.0
LEE,30553.0,24292.0,17822.0,27711.0,27152.0
LIMESTONE,124573.0,82154.0,120086.0,79962.0,110891.0
LOWNDES,212970.0,165230.0,203471.0,178625.0,163827.0
MACON,36097.0,27919.0,24290.0,48854.0,31182.0
MADISON,93793.0,89045.0,84558.0,72829.0,51633.0
MARENGO,117590.0,78342.0,81047.0,90341.0,125211.0
MARION,75098.0,63176.0,60763.0,63809.0,57692.0
MARSHALL,186463.0,172140.0,179801.0,170693.0,177247.0
MOBILE,82810.0,90508.0,64844.0,73433.0,67458.0
MONROE,65360.0,45271.0,46378.0,61739.0,55398.0
MONTGOMERY,196366.0,177625.0,276981.0,211266.0,175611.0
MORGAN,163481.0,146931.0,164160.0,131539.0,128330.0
PERRY,64228.0,53824.0,118147.0,64320.0,59654.0
PICKENS,68189.0,63481.0,49375.0,58142.0,66597.0
PIKE,105788.0,88722.0,94474.0,111736.0,103957.0
RANDOLPH,99925.0,67506.0,84552.0,119461.0,114458.0
RUSSELL,31778.0,22768.0,26303.0,29528.0,50293.0
SAINT CLAIR,67486.0,36920.0,44564.0,45301.0,58340.0
SHELBY,35231.0,21186.0,31773.0,35925.0,18443.0
SUMTER,101607.0,85503.0,111851.0,86192.0,98230.0
TALLADEGA,78514.0,55323.0,61973.0,57151.0,58503.0
TALLAPOOSA,33157.0,30583.0,20896.0,40576.0,36640.0
TUSCALOOSA,43025.0,35540.0,27338.0,47370.0,31023.0
WALKER,47287.0,37682.0,39349.0,48637.0,28536.0
WASHINGTON,40706.0,40649.0,36126.0,51666.0,31730.0
WILCOX,75835.0,62395.0,53728.0,65846.0,62046.0
WINSTON,97917.0,48837.0,60191.0,46132.0,31261.0
ALEUTIAN ISLANDS,16760.0,32700.0,9515.0,33838.0,45239.0
ANCHORAGE,8742.0,5269.0,4229.0,4300.0,943.0
FAIRBANKS NORTH STAR,4179.0,4120.0,4708.0,4693.0,5260.0
JUNEAU,46.0,0.0,0.0,0.0,0.0
KENAI PENINSULA,1047.0,459.0,484.0,671.0,2731.0
APACHE,138106.0,168507.0,150848.0,153229.0,169060.0
COCHISE,275614.0,204522.0,219969.0,416790.0,511730.0
COCONINO,130987.0,177950.0,227660.0,216334.0,195727.0
GILA,34692.0,35372.0,38628.0,68274.0,39933.0
GRAHAM,29837.0,49685.0,47051.0,60393.0,68959.0
GREENLEE,27523.0,34061.0,25835.0,27047.0,8128.0
LAPAZ,8825.0,6508.0,13302.0,3415.0,3178.0
MARICOPA,945022.0,767451.0,730790.0,967551.0,957029.0
MOHAVE,58557.0,17628.0,38291.0,86148.0,88042.0
NAVAJO,52224.0,68042.0,71228.0,138828.0,92996.0
PIMA,102473.0,73169.0,68435.0,78405.0,85058.0
PINAL,992356.0,1608287.0,1307427.0,1252136.0,1025946.0
SANTA CRUZ,45783.0,52524.0,96676.0,63528.0,43941.0
YAVAPAI,145757.0,183096.0,200639.0,223924.0,163377.0
YUMA,994.0,1026.0,570.0,1691.0,128.0
ARKANSAS,10407.0,7293.0,20360.0,11552.0,7031.0
ASHLEY,16547.0,17507.0,18214.0,12926.0,12630.0
BAXTER,85231.0,92451.0,68931.0,73300.0,78100.0
BENTON,520623.0,429449.0,518509.0,434243.0,338756.0
BOONE,326589.0,282129.0,257297.0,356125.0,232344.0
BRADLEY,19341.0,16633.0,10958.0,15581.0,22937.0
CARROLL,334909.0,317420.0,351547.0,323942.0,338525.0
CHICOT,30122.0,13561.0,15946.0,16285.0,9811.0
CLARK,50919.0,46033.0,42204.0,46547.0,30908.0
CLEVELAND,37103.0,21891.0,16663.0,23487.0,18969.0
COLUMBIA,42376.0,40235.0,34585.0,49104.0,41669.0
CONWAY,156998.0,225179.0,148749.0,142239.0,100775.0
CRAIGHEAD,26295.0,50369.0,14899.0,21951.0,15161.0
CRAWFORD,136523.0,104462.0,107081.0,110731.0,117910.0
CRITTENDEN,2994.0,2274.0,4574.0,1382.0,3565.0
CROSS,12660.0,5060.0,6885.0,9604.0,7259.0
DESHA,10486.0,7722.0,609.0,1738.0,1691.0
DREW,34182.0,35996.0,28557.0,46564.0,45125.0
FAULKNER,203805.0,166035.0,135062.0,161277.0,147938.0
FULTON,228072.0,231204.0,173229.0,173511.0,199145.0
GARLAND,28425.0,28729.0,23097.0,28239.0,16719.0
GRANT,37927.0,80149.0,79198.0,50848.0,60203.0
HEMPSTEAD,244711.0,250128.0,223133.0,244613.0,256517.0
HOT SPRING,67163.0,55433.0,48612.0,67253.0,67886.0
HOWARD,185045.0,248579.0,183549.0,200288.0,139667.0
INDEPENDENCE,206439.0,241174.0,158085.0,188883.0,197233.0
IZARD,158043.0,131601.0,133362.0,161387.0,132971.0
JOHNSON,112895.0,120400.0,139963.0,123621.0,112092.0
LAFAYETTE,123804.0,107350.0,128087.0,138146.0,117665.0
LINCOLN,26938.0,34256.0,28206.0,26396.0,18196.0
LITTLE RIVER,136691.0,133061.0,152257.0,139104.0,126368.0
LOGAN,244751.0,225972.0,276559.0,254137.0,236351.0
LONOKE,73133.0,91936.0,47690.0,59073.0,64732.0
MILLER,111370.0,94046.0,108490.0,88418.0,84430.0
MISSISSIPPI,3003.0,6378.0,2721.0,1118.0,6767.0
NEVADA,95123.0,77736.0,64580.0,91174.0,91021.0
NEWTON,86392.0,75664.0,80279.0,91514.0,69270.0
OUACHITA,23029.0,38183.0,11030.0,16884.0,8345.0
PHILLIPS,5000.0,14971.0,4453.0,4425.0,2179.0
POINSETT,12327.0,8547.0,7612.0,11627.0,7351.0
POLK,154361.0,170354.0,110971.0,171088.0,102529.0
POPE,156939.0,160059.0,133612.0,167282.0,174560.0
PRAIRIE,17428.0,23992.0,14161.0,9343.0,22645.0
PULASKI,33666.0,26503.0,23731.0,17069.0,24433.0
SAINT FRANCIS,8969.0,7243.0,6207.0,6605.0,4821.0
SALINE,43844.0,32368.0,24751.0,28118.0,26790.0
SCOTT,136403.0,103180.0,100948.0,100790.0,119985.0
SEARCY,146899.0,131807.0,103613.0,142787.0,118006.0
SEBASTIAN,132935.0,120784.0,147938.0,110823.0,136663.0
SEVIER,144847.0,137596.0,149798.0,137786.0,158713.0
SHARP,127660.0,127260.0,135300.0,130403.0,125599.0
STONE,137582.0,150285.0,125090.0,158771.0,94231.0
UNION,42308.0,30074.0,28441.0,28636.0,40154.0
VAN BUREN,95619.0,90774.0,73547.0,122810.0,80975.0
WHITE,260089.0,234409.0,186062.0,214767.0,205052.0
WOODRUFF,2970.0,6118.0,3279.0,2480.0,688.0
YELL,163593.0,142477.0,133256.0,179823.0,146452.0
ALAMEDA,86889.0,73470.0,64527.0,79893.0,55245.0
ALPINE,6008.0,1819.0,0.0,281.0,0.0
AMADOR,80915.0,57635.0,52497.0,57809.0,57101.0
BUTTE,83309.0,62718.0,62497.0,55162.0,86656.0
CALAVERAS,121335.0,98574.0,64252.0,97460.0,101454.0
COLUSA,63748.0,65788.0,67386.0,79345.0,91381.0
CONTRA COSTA,79524.0,77240.0,92801.0,115110.0,118171.0
DEL NORTE,36744.0,56295.0,59225.0,31388.0,14778.0
EL DORADO,29211.0,23366.0,28388.0,22617.0,32690.0
FRESNO,1700089.0,1830672.0,1718730.0,1622896.0,2021185.0
GLENN,296330.0,286062.0,282169.0,279362.0,236811.0
HUMBOLDT,291681.0,267949.0,256668.0,323966.0,257627.0
IMPERIAL,2274095.0,2560806.0,2183738.0,2390182.0,2360649.0
INYO,71328.0,54157.0,64302.0,47086.0,51029.0
KERN,1151290.0,1505181.0,1530715.0,1571650.0,1470643.0
KINGS,1220178.0,1627961.0,1843940.0,1478511.0,1449607.0
LAKE,28501.0,12503.0,12060.0,13857.0,11251.0
LASSEN,222715.0,202698.0,186179.0,177853.0,198221.0
LOS ANGELES,13693.0,26759.0,13995.0,7736.0,14034.0
MADERA,650696.0,876902.0,727480.0,741279.0,880132.0
MARIN,160261.0,153256.0,182625.0,162246.0,102453.0
MARIPOSA,100916.0,77762.0,94731.0,149439.0,145198.0
MENDOCINO,76440.0,86526.0,66801.0,112470.0,68497.0
MERCED,2114722.0,2502628.0,2545344.0,2605168.0,2681041.0
MODOC,342543.0,271152.0,206677.0,238275.0,259621.0
MONO,22866.0,19245.0,5909.0,11830.0,6458.0
MONTEREY,320350.0,254107.0,233148.0,210321.0,200611.0
NAPA,34268.0,23943.0,33443.0,27839.0,35999.0
ORANGE,2803.0,1959.0,964.0,300.0,181.0
PLACER,81910.0,65464.0,49248.0,70215.0,49893.0
PLUMAS,61954.0,46559.0,58278.0,57012.0,44251.0
RIVERSIDE,819751.0,477922.0,349226.0,302342.0,118621.0
SACRAMENTO,305204.0,318720.0,253182.0,250868.0,157482.0
SAN BENITO,172931.0,144535.0,151003.0,102096.0,114218.0
SAN BERNARDINO,1246423.0,926094.0,691584.0,465217.0,448915.0
SAN DIEGO,115205.0,76416.0,70694.0,58901.0,65646.0
SAN JOAQUIN,998590.0,1100769.0,1097679.0,1008826.0,1374117.0
SAN LUIS OBISPO,373782.0,225895.0,262386.0,189966.0,151757.0
SAN MATEO,10641.0,9877.0,5994.0,8541.0,9158.0
SANTA BARBARA,193708.0,171491.0,172413.0,94377.0,104340.0
SANTA CLARA,98623.0,76750.0,64702.0,88674.0,47778.0
SHASTA,129209.0,175238.0,154152.0,164614.0,77589.0
SIERRA,27832.0,13778.0,30294.0,20114.0,25515.0
SISKIYOU,294520.0,256363.0,246510.0,223290.0,215191.0
SOLANO,196744.0,166005.0,236893.0,170853.0,198498.0
SONOMA,372536.0,341233.0,427828.0,395161.0,237490.0
STANISLAUS,1914020.0,1922997.0,1808099.0,1931537.0,1816351.0
SUTTER,40246.0,28905.0,25981.0,25566.0,15077.0
TEHAMA,306721.0,265173.0,275042.0,289855.0,163421.0
TRINITY,18447.0,12095.0,17002.0,8852.0,15575.0
TULARE,4044138.0,4790769.0,4859576.0,4802198.0,4838204.0
TUOLUMNE,55293.0,53752.0,38510.0,36972.0,58096.0
VENTURA,36652.0,30471.0,25069.0,26217.0,14456.0
YOLO,72146.0,82797.0,54917.0,49269.0,211352.0
YUBA,134161.0,59178.0,51369.0,54094.0,51405.0
ADAMS,52722.0,65204.0,52550.0,63124.0,58078.0
ALAMOSA,41035.0,44230.0,50601.0,53705.0,46551.0
ARAPAHOE,37097.0,28434.0,40123.0,33879.0,32840.0
ARCHULETA,23091.0,20178.0,55441.0,31256.0,31187.0
BACA,290267.0,264067.0,182476.0,248807.0,167348.0
BENT,188432.0,198970.0,138767.0,126349.0,102210.0
BOULDER,45239.0,46398.0,42058.0,26429.0,15158.0
BROOMFIELD,0.0,348.0,1605.0,863.0,0.0
CHAFFEE,22827.0,31153.0,31466.0,32161.0,22689.0
CHEYENNE,84304.0,137455.0,128594.0,149936.0,97017.0
CLEAR CREEK,0.0,10.0,331.0,131.0,30.0
CONEJOS,96121.0,145724.0,125734.0,166005.0,92884.0
COSTILLA,33434.0,34935.0,25982.0,26837.0,12842.0
CROWLEY,131453.0,297012.0,287829.0,304236.0,168540.0
CUSTER,22003.0,26181.0,36887.0,37790.0,12480.0
DELTA,127736.0,143443.0,146857.0,158604.0,134448.0
DOLORES,14344.0,15970.0,15330.0,20028.0,13733.0
DOUGLAS,25237.0,21866.0,32296.0,37046.0,24285.0
EAGLE,22469.0,24255.0,26119.0,35017.0,19783.0
EL PASO,116200.0,118476.0,100466.0,130791.0,72874.0
ELBERT,190603.0,181662.0,148629.0,185265.0,162835.0
FREMONT,47291.0,65364.0,59160.0,65170.0,32731.0
GARFIELD,104051.0,87189.0,85274.0,156069.0,87020.0
GILPIN,10.0,42.0,12.0,62.0,177.0
GRAND,56058.0,53999.0,56124.0,78342.0,43980.0
GUNNISON,59438.0,61295.0,80134.0,109124.0,65262.0
HINSDALE,3850.0,3543.0,4344.0,1766.0,734.0
HUERFANO,32191.0,52454.0,52824.0,64550.0,51791.0
KIOWA,75252.0,82740.0,68779.0,80604.0,66610.0
KIT CARSON,711605.0,893840.0,752297.0,956666.0,1310961.0
LA PLATA,90351.0,99145.0,94642.0,95925.0,64997.0
LARIMER,251095.0,225727.0,192578.0,255866.0,336445.0
LAS ANIMAS,189928.0,227415.0,184657.0,192450.0,187889.0
MESA,205529.0,135468.0,168007.0,219549.0,124642.0
MINERAL,1909.0,455.0,120.0,210.0,762.0
MOFFAT,149587.0,119452.0,123218.0,157987.0,131440.0
MONTEZUMA,86104.0,89017.0,104077.0,119881.0,70193.0
MONTROSE,219566.0,214028.0,226850.0,211950.0,141893.0
