COUNTY_NAME,2002,2007,2012,2017,2022
AUTAUGA,0.0,0.0,48.0,0.0,0.0
BALDWIN,0.0,0.0,132.0,25.0,22.0
BLOUNT,490.0,6.0,0.0,129.0,0.0
CALHOUN,0.0,0.0,270.0,99.0,12.0
CHAMBERS,0.0,5.0,121.0,201.0,302.0
CHEROKEE,180.0,0.0,0.0,0.0,0.0
CHILTON,0.0,0.0,0.0,17.0,32.0
CHOCTAW,0.0,6.0,0.0,0.0,0.0
CLARKE,0.0,0.0,0.0,14.0,0.0
CLAY,137.0,432.0,0.0,0.0,0.0
CLEBURNE,144.0,0.0,0.0,0.0,12.0
COFFEE,850.0,0.0,0.0,29.0,0.0
COLBERT,0.0,0.0,0.0,49.0,16.0
CONECUH,0.0,0.0,0.0,34.0,0.0
COVINGTON,620.0,633.0,7.0,24.0,0.0
CRENSHAW,0.0,0.0,0.0,59.0,0.0
CULLMAN,2682.0,1556.0,1739.0,758.0,214.0
DALLAS,0.0,0.0,96.0,24.0,0.0
DE KALB,881.0,0.0,282.0,220.0,0.0
ELMORE,370.0,0.0,42.0,50.0,0.0
ESCAMBIA,0.0,0.0,44.0,0.0,38.0
ETOWAH,356.0,390.0,480.0,458.0,0.0
FAYETTE,915.0,855.0,1085.0,0.0,0.0
FRANKLIN,0.0,0.0,146.0,54.0,0.0
GENEVA,0.0,0.0,488.0,9.0,0.0
GREENE,0.0,0.0,24.0,0.0,0.0
HALE,652.0,581.0,42.0,9.0,0.0
JACKSON,0.0,3.0,0.0,9.0,0.0
JEFFERSON,6.0,0.0,0.0,0.0,0.0
LAMAR,500.0,0.0,0.0,0.0,0.0
LAUDERDALE,0.0,0.0,74.0,32.0,28.0
LAWRENCE,415.0,46.0,190.0,164.0,0.0
LIMESTONE,222.0,0.0,48.0,0.0,0.0
LOWNDES,0.0,0.0,48.0,136.0,0.0
MACON,0.0,0.0,11.0,0.0,0.0
MADISON,175.0,79.0,22.0,31.0,0.0
MARENGO,1738.0,0.0,13.0,98.0,0.0
MARION,20.0,0.0,46.0,27.0,0.0
MARSHALL,0.0,8.0,0.0,96.0,44.0
MOBILE,808.0,1400.0,12.0,19.0,0.0
MONTGOMERY,0.0,0.0,0.0,52.0,0.0
MORGAN,1892.0,1430.0,1210.0,879.0,0.0
PERRY,0.0,0.0,1020.0,0.0,0.0
PICKENS,0.0,0.0,155.0,0.0,0.0
PIKE,0.0,0.0,0.0,344.0,0.0
RANDOLPH,421.0,0.0,16.0,158.0,0.0
SAINT CLAIR,104.0,0.0,0.0,0.0,0.0
SHELBY,0.0,0.0,28.0,0.0,0.0
SUMTER,63.0,0.0,0.0,0.0,0.0
TALLADEGA,98.0,0.0,0.0,22.0,0.0
TALLAPOOSA,0.0,10.0,0.0,10.0,18.0
TUSCALOOSA,285.0,0.0,0.0,24.0,0.0
WALKER,0.0,10.0,0.0,45.0,0.0
WASHINGTON,0.0,0.0,54.0,20.0,0.0
WINSTON,231.0,0.0,24.0,0.0,0.0
ANCHORAGE,1686.0,354.0,0.0,17.0,58.0
FAIRBANKS NORTH STAR,224.0,237.0,84.0,61.0,98.0
JUNEAU,14.0,0.0,0.0,0.0,0.0
KENAI PENINSULA,18.0,0.0,0.0,0.0,14.0
APACHE,74.0,22.0,84.0,0.0,52.0
COCHISE,31.0,25.0,0.0,23.0,0.0
COCONINO,0.0,0.0,38.0,0.0,20.0
GILA,22.0,18.0,0.0,18.0,184.0
GRAHAM,42.0,8.0,0.0,64.0,10.0
GREENLEE,23.0,0.0,6.0,4.0,0.0
MARICOPA,251965.0,189211.0,104295.0,243556.0,205600.0
MOHAVE,9.0,0.0,0.0,0.0,18.0
NAVAJO,149.0,11.0,58.0,16.0,20.0
PIMA,23.0,40.0,63.0,0.0,24.0
PINAL,42193.0,66892.0,142278.0,132436.0,0.0
SANTA CRUZ,18.0,0.0,34.0,0.0,74.0
YAVAPAI,40.0,15.0,42.0,44.0,36.0
YUMA,0.0,4.0,0.0,0.0,0.0
BAXTER,231.0,0.0,0.0,0.0,0.0
BENTON,6870.0,5262.0,3610.0,3104.0,681.0
BOONE,1872.0,199.0,0.0,30.0,0.0
CARROLL,2530.0,1920.0,573.0,0.0,22.0
CONWAY,6409.0,1402.0,0.0,0.0,0.0
CRAWFORD,541.0,0.0,0.0,0.0,0.0
DESHA,0.0,0.0,0.0,0.0,30.0
FAULKNER,2830.0,1783.0,886.0,1640.0,450.0
FULTON,1328.0,639.0,320.0,0.0,0.0
GARLAND,4.0,360.0,0.0,0.0,0.0
HEMPSTEAD,5.0,24.0,0.0,240.0,0.0
HOT SPRING,218.0,0.0,0.0,12.0,0.0
HOWARD,53.0,0.0,0.0,0.0,0.0
INDEPENDENCE,140.0,0.0,0.0,0.0,0.0
IZARD,255.0,182.0,0.0,360.0,0.0
JOHNSON,0.0,19.0,0.0,0.0,0.0
LOGAN,1230.0,424.0,320.0,0.0,0.0
LONOKE,1494.0,1217.0,769.0,481.0,0.0
SALINE,560.0,247.0,0.0,0.0,0.0
SCOTT,510.0,514.0,216.0,0.0,0.0
SEARCY,2629.0,845.0,180.0,0.0,0.0
SEBASTIAN,243.0,106.0,0.0,0.0,0.0
SEVIER,217.0,20.0,0.0,0.0,229.0
STONE,196.0,0.0,0.0,0.0,0.0
VAN BUREN,2389.0,1187.0,0.0,0.0,0.0
WHITE,2100.0,1583.0,401.0,566.0,0.0
YELL,307.0,0.0,0.0,0.0,0.0
ALAMEDA,12.0,0.0,0.0,41.0,0.0
AMADOR,40.0,16.0,0.0,0.0,20.0
BUTTE,1676.0,13.0,427.0,18.0,185.0
CALAVERAS,444.0,98.0,6.0,346.0,26.0
COLUSA,0.0,0.0,102.0,80.0,0.0
CONTRA COSTA,0.0,0.0,24.0,0.0,0.0
DEL NORTE,5023.0,10476.0,7322.0,7372.0,0.0
EL DORADO,18.0,10.0,54.0,72.0,56.0
FRESNO,181009.0,229452.0,224164.0,205431.0,223752.0
GLENN,34608.0,44998.0,40852.0,30872.0,25296.0
HUMBOLDT,33464.0,30812.0,32746.0,47788.0,11387.0
IMPERIAL,0.0,19028.0,0.0,0.0,27842.0
INYO,0.0,0.0,26.0,0.0,0.0
KERN,148949.0,249034.0,261584.0,233182.0,258469.0
KINGS,276584.0,327200.0,334128.0,346626.0,300656.0
LAKE,8.0,26.0,6.0,10.0,8.0
LASSEN,76.0,130.0,48.0,22.0,33.0
LOS ANGELES,26.0,4464.0,18.0,0.0,0.0
MADERA,95859.0,153354.0,67800.0,132076.0,156524.0
MARIN,20430.0,19544.0,22080.0,21592.0,7869.0
MARIPOSA,251.0,0.0,0.0,0.0,0.0
MENDOCINO,61.0,4457.0,23.0,1193.0,42.0
MERCED,446606.0,546329.0,570430.0,545019.0,577806.0
MODOC,28.0,30.0,0.0,0.0,18.0
MONTEREY,1613.0,2180.0,5.0,1445.0,22.0
NAPA,245.0,0.0,0.0,0.0,0.0
NEVADA,216.0,42.0,58.0,42.0,24.0
PLACER,113.0,0.0,8.0,1156.0,134.0
PLUMAS,14.0,0.0,0.0,0.0,0.0
RIVERSIDE,180461.0,102878.0,85033.0,75806.0,26839.0
SACRAMENTO,36674.0,40844.0,31296.0,32021.0,10165.0
SAN BENITO,1870.0,2128.0,0.0,13.0,0.0
SAN BERNARDINO,316177.0,215196.0,172282.0,104148.0,105404.0
SAN DIEGO,11332.0,10276.0,13400.0,8366.0,11010.0
SAN JOAQUIN,206874.0,218672.0,219366.0,212750.0,266212.0
SAN LUIS OBISPO,580.0,24.0,259.0,256.0,22.0
SAN MATEO,12.0,6.0,20.0,0.0,0.0
SANTA BARBARA,2704.0,3207.0,25.0,0.0,20.0
SANTA CLARA,35.0,100.0,20.0,30.0,34.0
SHASTA,940.0,76.0,192.0,64.0,62.0
SISKIYOU,1563.0,1116.0,999.0,1211.0,780.0
SOLANO,3973.0,3.0,8600.0,44.0,0.0
SONOMA,63972.0,59212.0,70418.0,65898.0,38830.0
STANISLAUS,325756.0,383403.0,359234.0,366992.0,307761.0
SUTTER,3.0,0.0,12.0,10.0,6.0
TEHAMA,10403.0,6081.0,10198.0,4746.0,20.0
TRINITY,24.0,36.0,26.0,20.0,20.0
TULARE,824586.0,948592.0,978592.0,1000734.0,961956.0
TUOLUMNE,216.0,0.0,30.0,0.0,0.0
VENTURA,34.0,32.0,40.0,16.0,20.0
YOLO,2046.0,13.0,13.0,11.0,0.0
YUBA,6239.0,3258.0,2738.0,4.0,0.0
ADAMS,1902.0,1910.0,27.0,1818.0,20.0
ALAMOSA,0.0,0.0,20.0,16.0,0.0
ARAPAHOE,16.0,104.0,40.0,66.0,40.0
ARCHULETA,0.0,0.0,14.0,0.0,19.0
BACA,38.0,0.0,6.0,14.0,0.0
BENT,0.0,0.0,0.0,16.0,0.0
BOULDER,13.0,0.0,59.0,34.0,45.0
CHAFFEE,0.0,0.0,29.0,0.0,0.0
CHEYENNE,0.0,0.0,0.0,24.0,0.0
CONEJOS,10.0,398.0,240.0,186.0,151.0
COSTILLA,0.0,43.0,72.0,20.0,0.0
CROWLEY,172.0,21.0,0.0,14.0,0.0
CUSTER,16.0,0.0,0.0,10.0,8.0
DELTA,2993.0,1557.0,1580.0,29.0,2268.0
DOUGLAS,36.0,0.0,24.0,28.0,52.0
EL PASO,1053.0,577.0,234.0,58.0,140.0
ELBERT,224.0,7.0,21.0,82.0,178.0
FREMONT,2293.0,2497.0,4446.0,2029.0,32.0
GARFIELD,24.0,47.0,84.0,16.0,24.0
GRAND,0.0,0.0,0.0,16.0,0.0
GUNNISON,0.0,0.0,36.0,12.0,0.0
HUERFANO,13.0,0.0,6.0,3.0,0.0
KIOWA,14.0,16.0,0.0,20.0,0.0
KIT CARSON,750.0,0.0,12.0,0.0,0.0
LA PLATA,55.0,182.0,92.0,112.0,53.0
LARIMER,28873.0,23198.0,16101.0,19863.0,23138.0
LAS ANIMAS,20.0,23.0,22.0,8.0,44.0
LINCOLN,45.0,33.0,24.0,38.0,14.0
MESA,1243.0,27.0,39.0,537.0,66.0
MOFFAT,38.0,51.0,25.0,36.0,10.0
MONTEZUMA,48.0,36.0,52.0,66.0,146.0
MONTROSE,4428.0,725.0,3.0,12.0,0.0
OTERO,72.0,82.0,58.0,20.0,36.0
PARK,12.0,43.0,48.0,10.0,0.0
PITKIN,26.0,18.0,6.0,0.0,0.0
PROWERS,66.0,23.0,12.0,0.0,0.0
PUEBLO,582.0,0.0,10.0,547.0,9.0
RIO BLANCO,0.0,28.0,0.0,10.0,12.0
RIO GRANDE,9.0,0.0,123.0,56.0,8.0
ROUTT,10.0,14.0,10.0,46.0,14.0
SAGUACHE,34.0,27.0,38.0,20.0,947.0
SAN MIGUEL,0.0,0.0,0.0,0.0,18.0
TELLER,26.0,0.0,26.0,54.0,0.0
WELD,100574.0,139566.0,145461.0,214198.0,264467.0
FAIRFIELD,159.0,126.0,44.0,87.0,0.0
HARTFORD,1932.0,1716.0,976.0,791.0,1200.0
LITCHFIELD,6873.0,6222.0,4876.0,5599.0,5721.0
MIDDLESEX,995.0,244.0,277.0,0.0,0.0
NEW HAVEN,916.0,781.0,937.0,241.0,425.0
NEW LONDON,8179.0,7086.0,6368.0,10740.0,11328.0
TOLLAND,7125.0,6711.0,5643.0,5945.0,5821.0
WINDHAM,11606.0,9829.0,7976.0,9329.0,5620.0
KENT,9013.0,5911.0,3129.0,4014.0,991.0
NEW CASTLE,1826.0,728.0,626.0,515.0,489.0
SUSSEX,4484.0,4261.0,1800.0,1872.0,1076.0
ALACHUA,3080.0,2700.0,1693.0,1682.0,206.0
BAKER,0.0,0.0,30.0,0.0,0.0
BAY,0.0,8.0,0.0,0.0,0.0
BRADFORD,3.0,11.0,0.0,54.0,0.0
BREVARD,0.0,0.0,23.0,0.0,0.0
BROWARD,18.0,14.0,0.0,0.0,20.0
CHARLOTTE,20.0,0.0,50.0,24.0,14.0
CITRUS,0.0,9.0,16.0,24.0,0.0
COLLIER,66.0,12.0,18.0,0.0,0.0
COLUMBIA,903.0,6.0,35.0,56.0,66.0
DE SOTO,99.0,7166.0,6590.0,8434.0,1210.0
