COUNTY_NAME,2002,2007,2012,2017,2022
AUTAUGA,0.0,0.0,38.0,96.0,0.0
BALDWIN,0.0,58.0,166.0,158.0,0.0
BARBOUR,0.0,504.0,0.0,137.0,0.0
BIBB,0.0,0.0,89.0,0.0,148.0
BLOUNT,72.0,0.0,172.0,258.0,117.0
BULLOCK,0.0,0.0,10.0,19.0,52.0
BUTLER,18.0,165.0,68.0,1605.0,10.0
CALHOUN,0.0,26.0,125.0,60.0,105.0
CHAMBERS,0.0,35.0,250.0,77.0,107.0
CHEROKEE,7.0,29.0,54.0,131.0,0.0
CHILTON,0.0,0.0,21.0,125.0,305.0
CHOCTAW,24.0,0.0,102.0,30.0,0.0
CLARKE,0.0,57.0,0.0,29.0,0.0
CLAY,0.0,32.0,0.0,29.0,51.0
CLEBURNE,0.0,70.0,0.0,0.0,0.0
COFFEE,75.0,10.0,0.0,8.0,45.0
COLBERT,43.0,55.0,54.0,131.0,0.0
CONECUH,48.0,17.0,25.0,0.0,409.0
COOSA,0.0,0.0,31.0,98.0,8.0
COVINGTON,0.0,75.0,113.0,211.0,0.0
CRENSHAW,0.0,13.0,10.0,75.0,7.0
CULLMAN,152.0,118.0,115.0,610.0,491.0
DALE,0.0,109.0,75.0,15.0,40.0
DALLAS,153.0,102.0,89.0,200.0,0.0
DE KALB,61300.0,59035.0,77039.0,17751.0,0.0
ELMORE,0.0,0.0,306.0,200.0,127.0
ESCAMBIA,351.0,176.0,30.0,0.0,36.0
ETOWAH,41.0,301.0,0.0,98.0,0.0
FAYETTE,0.0,0.0,0.0,61.0,100.0
FRANKLIN,38.0,16.0,0.0,26.0,0.0
GENEVA,60.0,0.0,101.0,55.0,90.0
GREENE,76.0,254.0,51.0,122.0,6.0
HALE,15.0,140.0,0.0,0.0,57.0
HENRY,14.0,0.0,136.0,154.0,0.0
HOUSTON,37.0,27.0,0.0,141.0,0.0
JACKSON,206.0,9386.0,146.0,378.0,0.0
JEFFERSON,210.0,0.0,181.0,303.0,293.0
LAMAR,0.0,33.0,20.0,0.0,65.0
LAUDERDALE,109.0,0.0,138.0,544.0,0.0
LAWRENCE,265.0,515.0,99.0,662.0,75.0
LEE,0.0,0.0,13.0,0.0,25.0
LIMESTONE,71.0,162.0,661.0,313.0,0.0
LOWNDES,0.0,84.0,0.0,201.0,0.0
MACON,61.0,88.0,0.0,36.0,34.0
MADISON,79.0,43.0,335.0,319.0,0.0
MARENGO,95.0,0.0,91.0,156.0,0.0
MARION,59.0,37.0,0.0,205.0,0.0
MARSHALL,133.0,42.0,5169.0,268.0,183.0
MOBILE,90.0,132.0,58.0,299.0,118.0
MONROE,98.0,50.0,0.0,126.0,0.0
MONTGOMERY,0.0,39.0,14.0,213.0,0.0
MORGAN,0.0,0.0,617.0,306.0,78.0
PERRY,15.0,20.0,6.0,24.0,0.0
PICKENS,31460.0,34622.0,13.0,13.0,18.0
PIKE,0.0,52.0,0.0,42.0,38.0
RANDOLPH,0.0,56.0,0.0,206.0,10.0
RUSSELL,30.0,0.0,0.0,0.0,48.0
SAINT CLAIR,36.0,119.0,21.0,383.0,49.0
SHELBY,10.0,15.0,82.0,304.0,165.0
SUMTER,13113.0,13440.0,28964.0,0.0,0.0
TALLADEGA,0.0,0.0,19.0,274.0,64.0
TALLAPOOSA,17.0,46.0,196.0,0.0,61.0
TUSCALOOSA,0.0,60.0,43.0,34.0,0.0
WALKER,0.0,96.0,116.0,125.0,155.0
WASHINGTON,550.0,233.0,75.0,0.0,0.0
WILCOX,0.0,207.0,82.0,122.0,408.0
WINSTON,47.0,33.0,26.0,20.0,0.0
ALEUTIAN ISLANDS,0.0,0.0,0.0,0.0,12.0
ANCHORAGE,129.0,115.0,69.0,183.0,178.0
KENAI PENINSULA,0.0,0.0,16.0,0.0,126.0
APACHE,94.0,106.0,233.0,274.0,580.0
COCHISE,81.0,241.0,1131.0,336.0,476.0
COCONINO,0.0,121.0,225.0,77.0,173.0
GILA,48.0,39.0,0.0,14.0,32.0
GRAHAM,0.0,12.0,0.0,72.0,0.0
GREENLEE,0.0,0.0,7.0,10.0,48.0
LAPAZ,3.0,53.0,0.0,513.0,0.0
